序号,"地区
(城市)","地区
(城市)",出差类型,住宿费标准,住宿费标准,住宿费标准,旺季地区,旺季浮动标准,旺季浮动标准,旺季浮动标准,旺季浮动标准
序号,"地区
(城市)","地区
(城市)",出差类型,住宿费标准,住宿费标准,住宿费标准,旺季地区,"旺季
期间",旺季上浮价,旺季上浮价,旺季上浮价
序号,"地区
(城市)","地区
(城市)",出差类型,部级,司局级,其他人员,旺季地区,"旺季
期间",部级,司局级,其他人员
1,北京,全市,公务,1100,650,500,,,,,
1,北京,全市,学术,1980,1170,900,,,,,
2,天津,6个中心城区、滨海新区、东丽区、西青区、津南区、北辰区、武清区、宝坻区、静海区、蓟县,公务,800,480,380,,,,,
2,天津,6个中心城区、滨海新区、东丽区、西青区、津南区、北辰区、武清区、宝坻区、静海区、蓟县,学术,1440,864,684,,,,,
2,天津,宁河区,公务,600,350,320,,,,,
2,天津,宁河区,学术,1080,630,576,,,,,
3,河北,石家庄市、张家口市、秦皇岛市、廊坊市、承德市、保定市,公务,800,450,350,张家口市,7-9月、11-3月,1200,675,525
3,河北,石家庄市、张家口市、秦皇岛市、廊坊市、承德市、保定市,公务,800,450,350,秦皇岛市,7-8月,1200,680,500
3,河北,石家庄市、张家口市、秦皇岛市、廊坊市、承德市、保定市,公务,800,450,350,承德市,7-9月,1000,580,580
3,河北,石家庄市、张家口市、秦皇岛市、廊坊市、承德市、保定市,学术,1440,810,630,张家口市,7-9月、11-3月,2160,1215,945
3,河北,石家庄市、张家口市、秦皇岛市、廊坊市、承德市、保定市,学术,1440,810,630,秦皇岛市,7-8月,2160,1224,900
3,河北,石家庄市、张家口市、秦皇岛市、廊坊市、承德市、保定市,学术,1440,810,630,承德市,7-9月,1800,1044,1044
3,河北,其他地区,公务,800,450,310,,,,,
3,河北,其他地区,学术,1440,810,558,,,,,
4,山西,太原市、大同市、晋城市,公务,800,480,350,,,,,
4,山西,太原市、大同市、晋城市,学术,1440,864,630,,,,,
4,山西,临汾市,公务,800,480,330,,,,,
4,山西,临汾市,学术,1440,864,594,,,,,
4,山西,阳泉市、长治市、晋中市,公务,800,480,310,,,,,
4,山西,阳泉市、长治市、晋中市,学术,1440,864,558,,,,,
4,山西,其他地区,公务,800,400,240,,,,,
4,山西,其他地区,学术,1440,720,432,,,,,
5,内蒙古,呼和浩特市,公务,800,460,350,,,,,
5,内蒙古,呼和浩特市,学术,1440,828,630,,,,,
5,内蒙古,其他地区,公务,800,460,320,海拉尔市、满洲里市、阿尔山市,7-9月,1200,690,480
5,内蒙古,其他地区,公务,800,460,320,二连浩特市,7-9月,1000,580,400
5,内蒙古,其他地区,公务,800,460,320,额济纳旗,9-10月,1200,690,480
5,内蒙古,其他地区,学术,1440,828,576,海拉尔市、满洲里市、阿尔山市,7-9月,2160,1242,864
5,内蒙古,其他地区,学术,1440,828,576,二连浩特市,7-9月,1800,1044,720
5,内蒙古,其他地区,学术,1440,828,576,额济纳旗,9-10月,2160,1242,864
6,辽宁,沈阳市,公务,800,480,350,,,,,
6,辽宁,沈阳市,学术,1440,864,630,,,,,
6,辽宁,其他地区,公务,800,480,330,,,,,
6,辽宁,其他地区,学术,1440,864,594,,,,,
7,大连,全市,公务,800,490,350,全市,7-9月,960,590,420
7,大连,全市,学术,1440,882,630,全市,7-9月,1728,1062,756
8,吉林,长春市、吉林市、延边州、长白山管理区,公务,800,450,350,吉林市、延边州、长白山管理区,7-9月,960,540,420
8,吉林,长春市、吉林市、延边州、长白山管理区,学术,1440,810,630,吉林市、延边州、长白山管理区,7-9月,1728,972,756
8,吉林,其他地区,公务,750,400,300,,,,,
8,吉林,其他地区,学术,1350,720,540,,,,,
9,黑龙江,哈尔滨市,公务,800,450,350,哈尔滨市,7-9月,960,540,420
9,黑龙江,哈尔滨市,学术,1440,810,630,哈尔滨市,7-9月,1728,972,756
9,黑龙江,其他地区,公务,750,450,300,牡丹江市、伊春市、大兴安岭地区、黑河市、佳木斯市,6-8月,900,540,360
9,黑龙江,其他地区,学术,1350,810,540,牡丹江市、伊春市、大兴安岭地区、黑河市、佳木斯市,6-8月,1620,972,648
10,上海,全市,公务,1100,600,500,,,,,
10,上海,全市,学术,1980,1080,900,,,,,
11,江苏,南京市、苏州市、无锡市、常州市、镇江市,公务,900,490,380,,,,,
11,江苏,南京市、苏州市、无锡市、常州市、镇江市,学术,1620,882,684,,,,,
11,江苏,其他地区,公务,900,490,360,,,,,
11,江苏,其他地区,学术,1620,882,648,,,,,
12,浙江,杭州市,公务,900,500,400,,,,,
12,浙江,杭州市,学术,1620,900,720,,,,,
12,浙江,其他地区,公务,800,490,340,,,,,
12,浙江,其他地区,学术,1440,882,612,,,,,
13,宁波,全市,公务,800,450,350,,,,,
13,宁波,全市,学术,1440,810,630,,,,,
14,安徽,全省,公务,800,460,350,,,,,
14,安徽,全省,学术,1440,828,630,,,,,
15,福建,福州市、泉州市、平潭综合实验区,公务,900,480,380,,,,,
15,福建,福州市、泉州市、平潭综合实验区,学术,1620,864,684,,,,,
15,福建,其他地区,公务,900,480,350,,,,,
15,福建,其他地区,学术,1620,864,630,,,,,
16,厦门,全市,公务,900,500,400,,,,,
16,厦门,全市,学术,1620,900,720,,,,,
17,江西,全省,公务,800,470,350,,,,,
17,江西,全省,学术,1440,846,630,,,,,
18,山东,济南市、淄博市、枣庄市、东营市、烟台 市、潍坊市、济宁市、泰安市、威海市、 日照市,公务,800,480,380,烟台市、威海市、 日照市,7-9月,960,570,450
18,山东,济南市、淄博市、枣庄市、东营市、烟台 市、潍坊市、济宁市、泰安市、威海市、 日照市,学术,1440,864,684,烟台市、威海市、 日照市,7-9月,1728,1026,810
18,山东,其他地区,公务,800,460,360,,,,,
18,山东,其他地区,学术,1440,828,648,,,,,
19,青岛,全市,公务,800,490,380,全市,7-9月,960,590,450
19,青岛,全市,学术,1440,882,684,全市,7-9月,1728,1062,810
20,河南,郑州市,公务,900,480,380,,,,,
20,河南,郑州市,学术,1620,864,684,,,,,
20,河南,其他地区,公务,800,480,330,洛阳市,4-5月上旬,1200,720,500
20,河南,其他地区,学术,1440,864,594,洛阳市,4-5月上旬,2160,1296,900
21,湖北,武汉市,公务,800,480,350,,,,,
21,湖北,武汉市,学术,1440,864,630,,,,,
21,湖北,其他地区,公务,800,480,320,,,,,
21,湖北,其他地区,学术,1440,864,576,,,,,
22,湖南,长沙市,公务,800,450,350,,,,,
22,湖南,长沙市,学术,1440,810,630,,,,,
22,湖南,其他地区,公务,800,450,330,,,,,
22,湖南,其他地区,学术,1440,810,594,,,,,
23,广东,广州市、珠海市、佛山市、东莞市、中山市、江门市,公务,900,550,450,,,,,
23,广东,广州市、珠海市、佛山市、东莞市、中山市、江门市,学术,1620,990,810,,,,,
23,广东,其他地区,公务,850,530,420,,,,,
23,广东,其他地区,学术,1530,954,756,,,,,
24,深圳,全市,公务,900,550,450,,,,,
24,深圳,全市,学术,1620,990,810,,,,,
25,广西,南宁市,公务,800,470,350,,,,,
25,广西,南宁市,学术,1440,846,630,,,,,
25,广西,其他地区,公务,800,470,330,桂林市、北海市,1-2月、7-9月,1040,610,430
25,广西,其他地区,学术,1440,846,594,桂林市、北海市,1-2月、7-9月,1872,1098,774
26,海南,海口市、三沙市、儋州市、五指山市、文昌市、琼海市、万宁市、东方市、定安县、屯昌县、澄迈县、临高县、白沙县、昌江县、乐东县、陵水县、保亭县、琼中县、洋浦开发区,公务,800,500,350,海口市、文昌市、 澄迈县,11-2月,1040,650,450
26,海南,海口市、三沙市、儋州市、五指山市、文昌市、琼海市、万宁市、东方市、定安县、屯昌县、澄迈县、临高县、白沙县、昌江县、乐东县、陵水县、保亭县、琼中县、洋浦开发区,公务,800,500,350,琼海市、万宁市、 陵水县、保亭县,11-3月,1040,650,450
26,海南,海口市、三沙市、儋州市、五指山市、文昌市、琼海市、万宁市、东方市、定安县、屯昌县、澄迈县、临高县、白沙县、昌江县、乐东县、陵水县、保亭县、琼中县、洋浦开发区,学术,1440,900,630,海口市、文昌市、 澄迈县,11-2月,1872,1170,810
26,海南,海口市、三沙市、儋州市、五指山市、文昌市、琼海市、万宁市、东方市、定安县、屯昌县、澄迈县、临高县、白沙县、昌江县、乐东县、陵水县、保亭县、琼中县、洋浦开发区,学术,1440,900,630,琼海市、万宁市、 陵水县、保亭县,11-3月,1872,1170,810
26,海南,三亚市,公务,1000,600,400,三亚市,10-4月,1200,720,480
26,海南,三亚市,学术,1800,1080,720,三亚市,10-4月,2160,1296,864
27,重庆,9个中心城区、北部新区,公务,800,480,370,,,,,
27,重庆,9个中心城区、北部新区,学术,1440,864,666,,,,,
